127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/css/web2py.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:48, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.054000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp, HTTP/1.1, 200, 0.039000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/css/web2py.css, HTTP/1.1, 304, 0.002000
